iter	Passed	Remaining
0	0	454
1	0	352
2	0	311
3	1	292
4	1	278
5	1	277
6	1	274
7	2	270
8	2	268
9	2	265
10	2	262
11	3	259
12	3	255
13	3	253
14	3	251
15	4	249
16	4	249
17	4	247
18	4	251
19	5	250
20	5	249
21	5	248
22	5	247
23	6	246
24	6	247
25	6	248
26	6	247
27	7	246
28	7	245
29	7	245
30	7	245
31	8	244
32	8	243
33	8	242
34	8	241
35	9	241
36	9	240
37	9	240
38	9	239
39	9	239
40	10	238
41	10	237
42	10	236
43	10	235
44	11	235
45	11	234
46	11	236
47	11	235
48	12	235
49	12	235
50	12	234
51	12	234
52	13	234
53	13	234
54	13	233
55	13	233
56	14	233
57	14	232
58	14	232
59	14	232
60	15	232
61	15	232
62	15	232
63	15	231
64	16	232
65	16	232
66	16	233
67	17	233
68	17	234
69	17	234
70	17	233
71	18	233
72	18	233
73	18	232
74	18	232
75	19	231
76	19	230
77	19	230
78	19	230
79	20	230
80	20	229
81	20	229
82	20	227
83	20	226
84	21	226
85	21	226
86	21	225
87	21	225
88	22	225
89	22	225
90	22	225
91	22	224
92	23	224
93	23	224
94	23	223
95	23	223
96	23	223
97	24	222
98	24	222
99	24	222
100	24	221
101	25	221
102	25	221
103	25	221
104	25	220
105	26	221
106	26	220
107	26	220
108	26	219
109	27	219
110	27	218
111	27	218
112	27	218
113	28	218
114	28	217
115	28	217
116	28	216
117	28	216
118	29	216
119	29	215
120	29	215
121	29	214
122	30	213
123	30	213
124	30	213
125	30	213
126	30	212
127	31	212
128	31	212
129	31	212
130	31	212
131	32	212
132	32	212
133	32	212
134	33	211
135	33	211
136	33	211
137	33	210
138	33	210
139	34	210
140	34	209
141	34	208
142	34	208
143	35	208
144	35	208
145	35	207
146	35	207
147	35	207
148	36	206
149	36	206
150	36	206
151	36	206
152	37	205
153	37	205
154	37	205
155	37	205
156	38	204
157	38	204
158	38	204
159	38	204
160	39	204
161	39	203
162	39	203
163	39	203
164	40	202
165	40	202
166	40	202
167	40	202
168	41	201
169	41	201
170	41	201
171	41	201
172	42	201
173	42	200
174	42	200
175	42	200
176	43	200
177	43	199
178	43	199
179	43	199
180	44	199
181	44	198
182	44	198
183	44	198
184	44	197
185	45	197
186	45	197
187	45	196
188	45	196
189	46	196
190	46	195
191	46	195
192	46	195
193	46	194
194	47	194
195	47	194
196	47	194
197	47	194
198	48	193
199	48	193
200	48	193
201	48	193
202	49	192
203	49	192
204	49	192
205	49	192
206	50	191
207	50	191
208	50	191
209	50	191
210	51	190
211	51	190
212	51	190
213	51	189
214	52	189
215	52	189
216	52	189
217	52	189
218	52	188
219	53	189
220	53	188
221	53	188
222	54	188
223	54	188
224	54	188
225	54	187
226	55	187
227	55	187
228	55	187
229	55	187
230	56	186
231	56	186
232	56	186
233	56	186
234	57	185
235	57	185
236	57	185
237	57	185
238	58	184
239	58	184
240	58	184
241	58	184
242	59	183
243	59	183
244	59	183
245	59	183
246	59	182
247	60	182
248	60	182
249	60	181
250	60	181
251	61	181
252	61	181
253	61	181
254	61	180
255	62	180
256	62	180
257	62	180
258	62	180
259	63	179
260	63	179
261	63	179
262	63	179
263	64	178
264	64	178
265	64	178
266	64	178
267	65	177
268	65	177
269	65	177
270	65	177
271	66	177
272	66	177
273	66	177
274	67	177
275	67	176
276	67	176
277	67	176
278	68	176
279	68	175
280	68	175
281	68	175
282	69	175
